,Phone_name,Price,Ratings
0,"APPLE iPhone SE (Black, 128 GB)","₹34,999",4.5
1,"APPLE iPhone 12 (Blue, 128 GB)","₹82,900",4.6
2,"APPLE iPhone 12 (Blue, 64 GB)","₹77,900",4.6
3,"APPLE iPhone 12 (White, 128 GB)","₹82,900",4.6
4,"APPLE iPhone 12 (Black, 128 GB)","₹82,900",4.6
5,"APPLE iPhone 12 (Green, 128 GB)","₹82,900",4.6
6,"APPLE iPhone 12 (Purple, 64 GB)","₹79,900",4.6
7,"APPLE iPhone 12 (White, 64 GB)","₹77,900",4.6
8,"APPLE iPhone SE (White, 128 GB)","₹34,999",4.5
9,"APPLE iPhone SE (Red, 128 GB)","₹34,999",4.5
10,"APPLE iPhone 12 Mini (Black, 128 GB)","₹72,900",4.5
11,"Apple iPhone XR ((PRODUCT)RED, 64 GB) (Includes EarPods, Power Adapter)","₹41,999",4.6
12,"APPLE iPhone 12 (Red, 128 GB)","₹82,900",4.6
13,"APPLE iPhone 11 (White, 64 GB)","₹51,999",4.6
14,"APPLE iPhone 12 (Green, 64 GB)","₹77,900",4.6
15,"APPLE iPhone 12 (Black, 64 GB)","₹77,900",4.6
16,"APPLE iPhone 11 (Black, 64 GB)","₹51,999",4.6
17,"APPLE iPhone 12 (Black, 256 GB)","₹92,900",4.6
18,"Apple iPhone XR (Yellow, 128 GB) (Includes EarPods, Power Adapter)","₹46,999",4.6
19,"APPLE iPhone 12 Mini (White, 128 GB)","₹72,900",4.5
20,"APPLE iPhone 12 Mini (Red, 128 GB)","₹72,900",4.5
21,"APPLE iPhone XR (Black, 128 GB)","₹46,999",4.6
22,"APPLE iPhone 12 (Blue, 256 GB)","₹92,900",4.6
23,"APPLE iPhone 12 (Green, 256 GB)","₹92,900",4.6
